SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B27001_001,B27001_002,B27001_003,B27001_004,B27001_005,B27001_006,B27001_007,B27001_008,B27001_009,B27001_010,B27001_011,B27001_012,B27001_013,B27001_014,B27001_015,B27001_016,B27001_017,B27001_018,B27001_019,B27001_020,B27001_021,B27001_022,B27001_023,B27001_024,B27001_025,B27001_026,B27001_027,B27001_028,B27001_029,B27001_030,B27001_031,B27001_032,B27001_033,B27001_034,B27001_035,B27001_036,B27001_037,B27001_038,B27001_039,B27001_040,B27001_041,B27001_042,B27001_043,B27001_044,B27001_045,B27001_046,B27001_047,B27001_048,B27001_049,B27001_050,B27001_051,B27001_052,B27001_053,B27001_054,B27001_055,B27001_056,B27001_057,B27002_001,B27002_002,B27002_003,B27002_004,B27002_005,B27002_006,B27002_007,B27002_008,B27002_009,B27002_010,B27002_011,B27002_012,B27002_013,B27002_014,B27002_015,B27002_016,B27002_017,B27002_018,B27002_019,B27002_020,B27002_021,B27002_022,B27002_023,B27002_024,B27002_025,B27002_026,B27002_027,B27002_028,B27002_029,B27002_030,B27002_031,B27002_032,B27002_033,B27002_034,B27002_035,B27002_036,B27002_037,B27002_038,B27002_039,B27002_040,B27002_041,B27002_042,B27002_043,B27002_044,B27002_045,B27002_046,B27002_047,B27002_048,B27002_049,B27002_050,B27002_051,B27002_052,B27002_053,B27002_054,B27002_055,B27002_056,B27002_057,C27001A_001,C27001A_002,C27001A_003,C27001A_004,C27001A_005,C27001A_006,C27001A_007,C27001A_008,C27001A_009,C27001A_010,C27001B_001,C27001B_002,C27001B_003,C27001B_004,C27001B_005,C27001B_006,C27001B_007,C27001B_008,C27001B_009,C27001B_010,C27001C_001,C27001C_002,C27001C_003,C27001C_004,C27001C_005,C27001C_006,C27001C_007,C27001C_008,C27001C_009,C27001C_010,C27001D_001,C27001D_002,C27001D_003,C27001D_004,C27001D_005,C27001D_006,C27001D_007,C27001D_008,C27001D_009,C27001D_010,C27001E_001,C27001E_002,C27001E_003,C27001E_004,C27001E_005,C27001E_006,C27001E_007,C27001E_008,C27001E_009,C27001E_010,C27001F_001,C27001F_002,C27001F_003,C27001F_004,C27001F_005,C27001F_006,C27001F_007,C27001F_008,C27001F_009,C27001F_010,C27001G_001,C27001G_002,C27001G_003,C27001G_004,C27001G_005,C27001G_006,C27001G_007,C27001G_008,C27001G_009,C27001G_010,C27001H_001,C27001H_002,C27001H_003,C27001H_004,C27001H_005,C27001H_006,C27001H_007,C27001H_008,C27001H_009,C27001H_010,C27001I_001,C27001I_002,C27001I_003,C27001I_004,C27001I_005,C27001I_006,C27001I_007,C27001I_008,C27001I_009,C27001I_010,B27003_001,B27003_002,B27003_003,B27003_004,B27003_005,B27003_006,B27003_007,B27003_008,B27003_009,B27003_010,B27003_011,B27003_012,B27003_013,B27003_014,B27003_015,B27003_016,B27003_017,B27003_018,B27003_019,B27003_020,B27003_021,B27003_022,B27003_023,B27003_024,B27003_025,B27003_026,B27003_027,B27003_028,B27003_029,B27003_030,B27003_031,B27003_032,B27003_033,B27003_034,B27003_035,B27003_036,B27003_037,B27003_038,B27003_039,B27003_040,B27003_041,B27003_042,B27003_043,B27003_044,B27003_045,B27003_046,B27003_047,B27003_048,B27003_049,B27003_050,B27003_051,B27003_052,B27003_053,B27003_054,B27003_055,B27003_056,B27003_057,C27004_001,C27004_002,C27004_003,C27004_004,C27004_005,C27004_006,C27004_007,C27004_008,C27004_009,C27004_010,C27004_011,C27004_012,C27004_013,C27004_014,C27004_015,C27004_016,C27004_017,C27004_018,C27004_019,C27004_020,C27004_021,C27005_001,C27005_002,C27005_003,C27005_004,C27005_005,C27005_006,C27005_007,C27005_008,C27005_009,C27005_010,C27005_011,C27005_012,C27005_013,C27005_014,C27005_015,C27005_016,C27005_017,C27005_018,C27005_019,C27005_020,C27005_021,C27006_001,C27006_002,C27006_003,C27006_004,C27006_005,C27006_006,C27006_007,C27006_008,C27006_009,C27006_010,C27006_011,C27006_012,C27006_013,C27006_014,C27006_015,C27006_016,C27006_017,C27006_018,C27006_019,C27006_020,C27006_021,C27007_001,C27007_002,C27007_003,C27007_004,C27007_005,C27007_006,C27007_007,C27007_008,C27007_009,C27007_010,C27007_011,C27007_012,C27007_013,C27007_014,C27007_015,C27007_016,C27007_017,C27007_018,C27007_019,C27007_020,C27007_021,C27008_001,C27008_002,C27008_003,C27008_004,C27008_005,C27008_006,C27008_007,C27008_008,C27008_009,C27008_010,C27008_011,C27008_012,C27008_013,C27008_014,C27008_015,C27008_016,C27008_017,C27008_018,C27008_019,C27008_020,C27008_021,C27009_001,C27009_002,C27009_003,C27009_004,C27009_005,C27009_006,C27009_007,C27009_008,C27009_009,C27009_010,C27009_011,C27009_012,C27009_013,C27009_014,C27009_015,C27009_016,C27009_017,C27009_018,C27009_019,C27009_020,C27009_021,B27010_001,B27010_002,B27010_003,B27010_004,B27010_005,B27010_006,B27010_007,B27010_008,B27010_009,B27010_010,B27010_011,B27010_012,B27010_013,B27010_014,B27010_015,B27010_016,B27010_017,B27010_018,B27010_019,B27010_020,B27010_021,B27010_022,B27010_023,B27010_024,B27010_025,B27010_026,B27010_027,B27010_028,B27010_029,B27010_030,B27010_031,B27010_032,B27010_033,B27010_034,B27010_035,B27010_036,B27010_037,B27010_038,B27010_039,B27010_040,B27010_041,B27010_042,B27010_043,B27010_044,B27010_045,B27010_046,B27010_047,B27010_048,B27010_049,B27010_050,B27010_051,B27010_052,B27010_053,B27010_054,B27010_055,B27010_056,B27010_057,B27010_058,B27010_059,B27010_060,B27010_061,B27010_062,B27010_063,B27010_064,B27010_065,B27010_066,B27011_001,B27011_002,B27011_003,B27011_004,B27011_005,B27011_006,B27011_007,B27011_008,B27011_009,B27011_010,B27011_011,B27011_012,B27011_013,B27011_014,B27011_015,B27011_016,B27011_017,B27011_018,B27011_019,B27011_020,B27011_021,B27011_022,B27011_023,B27011_024,B27011_025,B27011_026,B27011_027,B27011_028,B27011_029,B27011_030,B27011_031,B27011_032,B27011_033,B27011_034,B27011_035,B27015_001,B27015_002,B27015_003,B27015_004,B27015_005,B27015_006,B27015_007,B27015_008,B27015_009,B27015_010,B27015_011,B27015_012,B27015_013,B27015_014,B27015_015,B27015_016,B27015_017,B27015_018,B27015_019,B27015_020,B27015_021,B27015_022,B27015_023,B27015_024,B27015_025,B27015_026,C27012_001,C27012_002,C27012_003,C27012_004,C27012_005,C27012_006,C27012_007,C27012_008,C27012_009,C27012_010,C27012_011,C27012_012,C27012_013,C27012_014,C27012_015,C27012_016,C27012_017,C27012_018,C27012_019,C27012_020,C27012_021,C27012_022,C27012_023,C27012_024,C27012_025,C27012_026,C27012_027,C27012_028,C27012_029,C27012_030,C27012_031,C27012_032,C27012_033,C27012_034,C27012_035,C27012_036,C27012_037,C27012_038,C27012_039,C27012_040,C27012_041,C27012_042,C27012_043,C27012_044,C27012_045,C27012_046,C27013_001,C27013_002,C27013_003,C27013_004,C27013_005,C27013_006,C27013_007,C27013_008,C27013_009,C27013_010,C27013_011,C27013_012,C27013_013,C27013_014,C27013_015,C27013_016,C27013_017,C27013_018,C27013_019,C27013_020,C27013_021,C27013_022,C27014_001,C27014_002,C27014_003,C27014_004,C27014_005,C27014_006,C27014_007,C27014_008,C27014_009,C27014_010,C27014_011,C27014_012,C27014_013,C27014_014,C27014_015,C27014_016,C27014_017,C27014_018,C27014_019,C27014_020,C27014_021,C27014_022,B27019_001,B27019_002,B27019_003,B27019_004,B27019_005,B27019_006,B27019_007,B27019_008,B27019_009,B27019_010,B27019_011,B27019_012,B27019_013,B27019_014,B27019_015,B27019_016,B27019_017,B27019_018,B27019_019,B27019_020,B27019_021,B27019_022,B27019_023,B27019_024,B27019_025,B27019_026,B27019_027,B27019_028,B27019_029,B27019_030,B27019_031,B27019_032,B27019_033,B27019_034,B27019_035,B27019_036,B27019_037,B27019_038,B27019_039,B27019_040,B27019_041,B27019_042,B27019_043,B27020_001,B27020_002,B27020_003,B27020_004,B27020_005,B27020_006,B27020_007,B27020_008,B27020_009,B27020_010,B27020_011,B27020_012,B27020_013,B27020_014,B27020_015,B27020_016,B27020_017,B27022_001,B27022_002,B27022_003,B27022_004,B27022_005,B27022_006,B27022_007,B27022_008,B27022_009,B27022_010,B27022_011,B27022_012,B27022_013,B27022_014,B27022_015,B27023_001,B27023_002,B27023_003,B27023_004,B27023_005,B27023_006,B27023_007,B27023_008,B27023_009,B27023_010,B27023_011,B27023_012,B27023_013,B27023_014,B27023_015,C27016_001,C27016_002,C27016_003,C27016_004,C27016_005,C27016_006,C27016_007,C27016_008,C27016_009,C27016_010,C27016_011,C27016_012,C27016_013,C27016_014,C27016_015,C27016_016,C27016_017,C27016_018,C27016_019,C27016_020,C27016_021,C27016_022,C27016_023,C27016_024,C27016_025,C27016_026,C27016_027,C27016_028,C27016_029,C27016_030,C27016_031,C27016_032,C27016_033,C27016_034,C27016_035,C27016_036,C27016_037,C27016_038,C27016_039,C27016_040,C27016_041,C27017_001,C27017_002,C27017_003,C27017_004,C27017_005,C27017_006,C27017_007,C27017_008,C27017_009,C27017_010,C27017_011,C27017_012,C27017_013,C27017_014,C27017_015,C27017_016,C27017_017,C27017_018,C27017_019,C27017_020,C27017_021,C27017_022,C27017_023,C27017_024,C27017_025,C27017_026,C27017_027,C27017_028,C27017_029,C27017_030,C27017_031,C27017_032,C27017_033,C27017_034,C27017_035,C27017_036,C27017_037,C27017_038,C27017_039,C27017_040,C27017_041,C27018_001,C27018_002,C27018_003,C27018_004,C27018_005,C27018_006,C27018_007,C27018_008,C27018_009,C27018_010,C27018_011,C27018_012,C27018_013,C27018_014,C27018_015,C27018_016,C27018_017,C27018_018,C27018_019,C27018_020,C27018_021,C27018_022,C27018_023,C27018_024,C27018_025,C27018_026,C27018_027,C27018_028,C27018_029,C27018_030,C27018_031,C27018_032,C27018_033,C27018_034,C27018_035,C27018_036,C27018_037,C27018_038,C27018_039,C27018_040,C27018_041
40,NH,33,,,,,04000US33,New Hampshire,1309057,644762,41029,39774,1255,97104,93484,3620,63537,53219,10318,74840,57735,17105,79302,67587,11715,105323,91651,13672,95258,86750,8508,55379,55241,138,32990,32954,36,664295,38569,37388,1181,94520,90710,3810,62594,54275,8319,74413,62313,12100,82133,72254,9879,108397,97231,11166,98037,89254,8783,59495,59239,256,46137,45946,191,1309057,644762,41029,26477,14552,97104,70620,26484,63537,49918,13619,74840,52400,22440,79302,63202,16100,105323,84139,21184,95258,78463,16795,55379,38353,17026,32990,24958,8032,664295,38569,25347,13222,94520,70354,24166,62594,48911,13683,74413,53696,20717,82133,66388,15745,108397,89368,19029,98037,81061,16976,59495,41717,17778,46137,33345,12792,1227864,245263,236734,8529,792951,690885,102066,189650,189253,397,16663,4859,4371,488,10906,8727,2179,898,894,4,2204,457,436,21,1601,1158,443,146,146,0,31309,7513,7148,365,21929,18656,3273,1867,1647,220,228,10,10,0,200,149,51,18,18,0,7130,2126,2022,104,4764,3386,1378,240,240,0,23659,10994,10635,359,11483,9308,2175,1182,1182,0,1197327,234626,226674,7952,774452,677451,97001,188249,187892,357,41460,14529,13585,944,25139,18255,6884,1792,1752,40,1309057,644762,41029,14607,26422,97104,25685,71419,63537,4218,59319,74840,7377,67463,79302,6151,73151,105323,10516,94807,95258,13914,81344,55379,52445,2934,32990,32765,225,664295,38569,13071,25498,94520,23253,71267,62594,6217,56377,74413,9836,64577,82133,7522,74611,108397,10194,98203,98037,12126,85911,59495,56957,2538,46137,45588,549,1309057,644762,138133,89236,48897,418260,295265,122995,88369,38403,49966,664295,133089,87840,45249,425574,304840,120734,105632,40619,65013,1309057,644762,138133,7958,130175,418260,36455,381805,88369,28714,59655,664295,133089,7757,125332,425574,39068,386506,105632,39751,65881,1309057,644762,138133,525,137608,418260,15112,403148,88369,84987,3382,664295,133089,473,132616,425574,17302,408272,105632,102541,3091,1309057,644762,138133,39985,98148,418260,23819,394441,88369,6550,81819,664295,133089,36063,97026,425574,33646,391928,105632,9309,96323,1309057,644762,138133,2128,136005,418260,6989,411271,88369,7425,80944,664295,133089,2146,130943,425574,6168,419406,105632,6716,98916,1309057,644762,138133,72,138061,418260,11413,406847,88369,17080,71289,664295,133089,24,133065,425574,1970,423604,105632,1440,104192,1309057,271222,248919,166284,11761,365,67713,2753,43,12437,2777,133,415,1165,22,7925,9866,275384,215429,174327,18536,1068,18615,2114,769,12113,4287,230,1978,630,187,4801,47842,568450,463819,390952,36260,9985,19012,4399,3211,40908,10324,3953,1969,8817,2369,1081,12395,63723,194001,48411,5099,413,42751,63,85,144969,40,47763,43255,7149,10,5022,41730,621,1037835,727998,688219,648823,570921,551319,31258,77902,39396,39213,30138,34999,183,39779,38067,25141,18855,7034,12926,1712,1712,1051,1688,0,309837,156944,136207,97372,49779,20737,152893,152455,107184,151068,438,1282263,141752,117412,53907,90097,24340,220673,183291,126543,102265,37382,232567,205802,174031,65373,26765,205978,191768,176707,36728,14210,481293,463360,444434,55380,17933,1037835,474440,456740,414820,382477,32063,1449,7305,41920,17700,17562,11927,3856,13979,521,138,282242,251384,203042,157637,28400,5137,19297,48342,30858,30783,12898,10629,29913,1497,75,281153,135710,114407,59991,15060,25828,30863,21303,145443,145035,54197,53980,143636,13841,408,1037835,474440,456740,408301,48439,17700,14742,2958,282242,251384,183793,67591,30858,22012,8846,281153,135710,75452,60258,145443,101619,43824,1037835,474440,456740,13823,442917,17700,14025,3675,282242,251384,24998,226386,30858,29963,895,281153,135710,49250,86460,145443,143767,1676,911704,717703,43213,30502,19484,12970,12711,195375,157730,136716,27805,37645,215669,187499,169342,25722,28170,263446,249044,243175,11139,14402,194001,24881,24656,13780,24398,225,65484,65348,45278,64235,136,46388,46280,34308,44861,108,57248,57096,45007,54261,152,1309057,1234043,1124314,945761,334976,109729,75014,39690,36150,30581,11906,3540,35324,26541,22375,5560,8783,122443,61661,25123,22892,2231,36538,27147,9391,60782,30312,27410,2902,30470,24728,5742,122443,61661,25123,22324,2799,36538,25159,11379,60782,30312,26350,3962,30470,20761,9709,1282388,175128,46816,44322,2494,103895,70033,33862,24417,24276,141,111167,27009,25190,1819,60547,41639,18908,23611,23546,65,389917,87129,83454,3675,235648,196907,38741,67140,66929,211,606176,106396,104883,1513,420947,401393,19554,78833,78629,204,1282388,175128,46816,10619,36197,103895,35235,68660,24417,12323,12094,111167,27009,11226,15783,60547,31496,29051,23611,14491,9120,389917,87129,68150,18979,235648,183090,52558,67140,48057,19083,606176,106396,101022,5374,420947,395683,25264,78833,63502,15331,1282388,175128,46816,36257,10559,103895,38515,65380,24417,24042,375,111167,27009,15418,11591,60547,12815,47732,23611,23336,275,389917,87129,17681,69448,235648,21512,214136,67140,65714,1426,606176,106396,5321,101075,420947,14899,406048,78833,74663,4170
40,NH,33,,,,,04001US33,New Hampshire -- Urban,785361,382967,25263,24658,605,56907,54957,1950,42800,36457,6343,50460,39215,11245,48244,41423,6821,60543,52905,7638,51456,47144,4312,28596,28501,95,18698,18688,10,402394,24185,23575,610,55637,53416,2221,43982,38586,5396,50082,41932,8150,49650,44038,5612,62756,56276,6480,54263,49568,4695,33107,32953,154,28732,28553,179,785361,382967,25263,15706,9557,56907,40350,16557,42800,34454,8346,50460,35361,15099,48244,38529,9715,60543,47948,12595,51456,42136,9320,28596,19757,8839,18698,14179,4519,402394,24185,15581,8604,55637,40868,14769,43982,34868,9114,50082,35653,14429,49650,39901,9749,62756,51094,11662,54263,44008,10255,33107,22804,10303,28732,20455,8277,720974,142123,137746,4377,472852,413920,58932,105999,105729,270,14408,4145,3779,366,9473,7442,2031,790,790,0,1476,338,334,4,1087,787,300,51,51,0,26650,6298,6004,294,18927,16129,2798,1425,1257,168,150,10,10,0,140,109,31,0,0,0,5989,1841,1773,68,3953,2811,1142,195,195,0,15714,7237,6960,277,7804,6346,1458,673,673,0,696322,133538,129657,3881,457871,403463,54408,104913,104683,230,33935,11994,11204,790,20560,14473,6087,1381,1341,40,785361,382967,25263,9794,15469,56907,16204,40703,42800,2607,40193,50460,5199,45261,48244,3970,44274,60543,6728,53815,51456,8216,43240,28596,26995,1601,18698,18576,122,402394,24185,8582,15603,55637,14345,41292,43982,4261,39721,50082,7045,43037,49650,5205,44445,62756,6569,56187,54263,8013,46250,33107,31716,1391,28732,28291,441,785361,382967,82170,51626,30544,253503,179155,74348,47294,20903,26391,402394,79822,51933,27889,260733,185205,75528,61839,24058,37781,785361,382967,82170,4565,77605,253503,21602,231901,47294,15109,32185,402394,79822,4391,75431,260733,23263,237470,61839,22561,39278,785361,382967,82170,241,81929,253503,9519,243984,47294,45427,1867,402394,79822,305,79517,260733,11625,249108,61839,60007,1832,785361,382967,82170,25907,56263,253503,15557,237946,47294,3735,43559,402394,79822,22769,57053,260733,23531,237202,61839,6141,55698,785361,382967,82170,1330,80840,253503,4028,249475,47294,4484,42810,402394,79822,1422,78400,260733,3540,257193,61839,4234,57605,785361,382967,82170,16,82154,253503,6897,246606,47294,9661,37633,402394,79822,24,79798,260733,1061,259672,61839,860,60979,785361,161992,148991,96926,6383,157,43642,1855,28,7615,1878,59,262,639,12,4765,5386,187324,147839,118849,13151,760,12921,1599,559,8351,3083,148,1449,396,165,3110,31134,326912,266604,224424,18931,6383,12846,2181,1839,24750,5911,2301,1217,6103,1206,567,7445,35558,109133,26966,2782,297,23818,18,51,81729,12,26803,22541,4785,8,2846,24734,438,623369,439117,413192,392368,345898,332471,20819,46470,20824,20747,15842,18456,77,25925,24874,16467,11970,4925,8407,1051,1051,647,1031,0,184252,96994,85179,59511,32069,11815,87258,86897,60706,86091,361,763024,98012,82493,36608,63064,15519,134496,111832,77237,60932,22664,134806,118294,100447,36232,16512,118050,110662,102489,20284,7388,277660,268209,257015,30099,9451,623369,284622,275240,250350,231500,17910,1030,4867,24890,9382,9313,6635,1934,7347,278,69,172398,155940,126814,97518,17855,3630,13308,29126,16458,16441,6881,5585,15964,772,17,166349,83056,70380,35342,9100,16484,20913,12676,83293,82941,31445,30151,82123,8826,352,623369,284622,275240,245851,29389,9382,7923,1459,172398,155940,113725,42215,16458,11589,4869,166349,83056,44376,38680,83293,57683,25610,623369,284622,275240,9041,266199,9382,7360,2022,172398,155940,16789,139151,16458,16009,449,166349,83056,31983,51073,83293,82209,1084,536587,427454,28060,19725,12129,9001,8335,113847,92175,78316,17729,21672,127383,111289,98797,16994,16094,158164,149312,145388,7221,8852,109133,15762,15541,8482,15321,221,38141,38052,26653,37383,89,26151,26078,19510,25265,73,29079,29024,22550,27609,55,785361,726584,664503,553283,199287,62081,58777,29444,26574,22273,8333,2870,29333,21768,18096,4696,7565,84641,41988,18850,17090,1760,23138,17578,5560,42653,22447,20465,1982,20206,16524,3682,84641,41988,18850,16785,2065,23138,16192,6946,42653,22447,19713,2734,20206,13788,6418,763043,118417,32165,30582,1583,70773,49274,21499,15479,15357,122,66112,15706,14572,1134,36748,25717,11031,13658,13615,43,229735,49044,47123,1921,142745,119304,23441,37946,37749,197,348779,62656,62093,563,244073,233779,10294,42050,41974,76,763043,118417,32165,6671,25494,70773,24393,46380,15479,8034,7445,66112,15706,6246,9460,36748,19149,17599,13658,8378,5280,229735,49044,38510,10534,142745,110694,32051,37946,27060,10886,348779,62656,60021,2635,244073,230490,13583,42050,33723,8327,763043,118417,32165,25628,6537,70773,27447,43326,15479,15201,278,66112,15706,9091,6615,36748,8227,28521,13658,13473,185,229735,49044,10030,39014,142745,13292,129453,37946,37088,858,348779,62656,2897,59759,244073,8551,235522,42050,39816,2234
40,NH,33,,,,,04043US33,New Hampshire -- Rural,523696,261795,15766,15116,650,40197,38527,1670,20737,16762,3975,24380,18520,5860,31058,26164,4894,44780,38746,6034,43802,39606,4196,26783,26740,43,14292,14266,26,261901,14384,13813,571,38883,37294,1589,18612,15689,2923,24331,20381,3950,32483,28216,4267,45641,40955,4686,43774,39686,4088,26388,26286,102,17405,17393,12,523696,261795,15766,10771,4995,40197,30270,9927,20737,15464,5273,24380,17039,7341,31058,24673,6385,44780,36191,8589,43802,36327,7475,26783,18596,8187,14292,10779,3513,261901,14384,9766,4618,38883,29486,9397,18612,14043,4569,24331,18043,6288,32483,26487,5996,45641,38274,7367,43774,37053,6721,26388,18913,7475,17405,12890,4515,506890,103140,98988,4152,320099,276965,43134,83651,83524,127,2255,714,592,122,1433,1285,148,108,104,4,728,119,102,17,514,371,143,95,95,0,4659,1215,1144,71,3002,2527,475,442,390,52,78,0,0,0,60,40,20,18,18,0,1141,285,249,36,811,575,236,45,45,0,7945,3757,3675,82,3679,2962,717,509,509,0,501005,101088,97017,4071,316581,273988,42593,83336,83209,127,7525,2535,2381,154,4579,3782,797,411,411,0,523696,261795,15766,4813,10953,40197,9481,30716,20737,1611,19126,24380,2178,22202,31058,2181,28877,44780,3788,40992,43802,5698,38104,26783,25450,1333,14292,14189,103,261901,14384,4489,9895,38883,8908,29975,18612,1956,16656,24331,2791,21540,32483,2317,30166,45641,3625,42016,43774,4113,39661,26388,25241,1147,17405,17297,108,523696,261795,55963,37610,18353,164757,116110,48647,41075,17500,23575,261901,53267,35907,17360,164841,119635,45206,43793,16561,27232,523696,261795,55963,3393,52570,164757,14853,149904,41075,13605,27470,261901,53267,3366,49901,164841,15805,149036,43793,17190,26603,523696,261795,55963,284,55679,164757,5593,159164,41075,39560,1515,261901,53267,168,53099,164841,5677,159164,43793,42534,1259,523696,261795,55963,14078,41885,164757,8262,156495,41075,2815,38260,261901,53267,13294,39973,164841,10115,154726,43793,3168,40625,523696,261795,55963,798,55165,164757,2961,161796,41075,2941,38134,261901,53267,724,52543,164841,2628,162213,43793,2482,41311,523696,261795,55963,56,55907,164757,4516,160241,41075,7419,33656,261901,53267,0,53267,164841,909,163932,43793,580,43213,523696,109230,99928,69358,5378,208,24071,898,15,4822,899,74,153,526,10,3160,4480,88060,67590,55478,5385,308,5694,515,210,3762,1204,82,529,234,22,1691,16708,241538,197215,166528,17329,3602,6166,2218,1372,16158,4413,1652,752,2714,1163,514,4950,28165,84868,21445,2317,116,18933,45,34,63240,28,20960,20714,2364,2,2176,16996,183,414466,288881,275027,256455,225023,218848,10439,31432,18572,18466,14296,16543,106,13854,13193,8674,6885,2109,4519,661,661,404,657,0,125585,59950,51028,37861,17710,8922,65635,65558,46478,64977,77,519239,43740,34919,17299,27033,8821,86177,71459,49306,41333,14718,97761,87508,73584,29141,10253,87928,81106,74218,16444,6822,203633,195151,187419,25281,8482,414466,189818,181500,164470,150977,14153,419,2438,17030,8318,8249,5292,1922,6632,243,69,109844,95444,76228,60119,10545,1507,5989,19216,14400,14342,6017,5044,13949,725,58,114804,52654,44027,24649,5960,9344,9950,8627,62150,62094,22752,23829,61513,5015,56,414466,189818,181500,162450,19050,8318,6819,1499,109844,95444,70068,25376,14400,10423,3977,114804,52654,31076,21578,62150,43936,18214,414466,189818,181500,4782,176718,8318,6665,1653,109844,95444,8209,87235,14400,13954,446,114804,52654,17267,35387,62150,61558,592,375117,290249,15153,10777,7355,3969,4376,81528,65555,58400,10076,15973,88286,76210,70545,8728,12076,105282,99732,97787,3918,5550,84868,9119,9115,5298,9077,4,27343,27296,18625,26852,47,20237,20202,14798,19596,35,28169,28072,22457,26652,97,523696,507459,459811,392478,135689,47648,16237,10246,9576,8308,3573,670,5991,4773,4279,864,1218,37802,19673,6273,5802,471,13400,9569,3831,18129,7865,6945,920,10264,8204,2060,37802,19673,6273,5539,734,13400,8967,4433,18129,7865,6637,1228,10264,6973,3291,519345,56711,14651,13740,911,33122,20759,12363,8938,8919,19,45055,11303,10618,685,23799,15922,7877,9953,9931,22,160182,38085,36331,1754,92903,77603,15300,29194,29180,14,257397,43740,42790,950,176874,167614,9260,36783,36655,128,519345,56711,14651,3948,10703,33122,10842,22280,8938,4289,4649,45055,11303,4980,6323,23799,12347,11452,9953,6113,3840,160182,38085,29640,8445,92903,72396,20507,29194,20997,8197,257397,43740,41001,2739,176874,165193,11681,36783,29779,7004,519345,56711,14651,10629,4022,33122,11068,22054,8938,8841,97,45055,11303,6327,4976,23799,4588,19211,9953,9863,90,160182,38085,7651,30434,92903,8220,84683,29194,28626,568,257397,43740,2424,41316,176874,6348,170526,36783,34847,1936
